fecha,estacion,temperatura,precipitacion,humedad,presion_atmosferica,velocidad_viento,calidad_aire,radiacion_solar,region,elevacion
2023-02-21,Estacion_1,33.6,0.0,47.1,1010.9,9.5,97.6,346.5,Costa,10
2023-02-22,Estacion_1,32.8,0.0,61.5,1012.6,6.7,95.1,465.6,Costa,10
2023-02-23,Estacion_1,34.6,0.0,56.2,1011.0,12.7,71.5,391.8,Costa,10
2023-02-24,Estacion_1,32.3,0.0,58.8,1011.6,7.2,61.8,499.6,Costa,10
2023-02-25,Estacion_1,33.0,0.0,49.6,1012.7,6.1,38.9,458.0,Costa,10
2023-02-26,Estacion_1,30.4,0.0,60.9,1012.1,6.4,149.0,413.0,Costa,10
2023-02-27,Estacion_1,34.5,0.0,49.2,1013.2,5.5,118.4,489.7,Costa,10
2023-02-28,Estacion_1,34.4,0.0,41.7,1013.1,3.9,59.8,421.0,Costa,10
2023-03-01,Estacion_1,34.9,0.0,41.4,1011.7,6.8,63.1,470.6,Costa,10
2023-03-02,Estacion_1,31.1,0.0,57.2,1010.1,6.9,77.5,514.5,Costa,10
2023-03-03,Estacion_1,32.6,0.0,49.6,1010.6,4.2,38.2,417.8,Costa,10
2023-03-04,Estacion_1,36.1,0.4,49.5,1010.6,6.2,69.1,456.8,Costa,10
2023-03-05,Estacion_1,32.9,0.0,48.3,1012.6,7.4,56.6,315.4,Costa,10
2023-03-06,Estacion_1,32.4,0.0,41.5,1012.6,4.1,71.9,418.8,Costa,10
2023-03-07,Estacion_1,32.0,0.0,48.8,1010.4,8.2,49.2,367.0,Costa,10
2023-03-08,Estacion_1,33.8,0.0,55.6,1011.7,5.8,117.9,515.5,Costa,10
2023-03-09,Estacion_1,34.4,0.0,48.6,1010.7,5.6,93.3,540.4,Costa,10
2023-03-10,Estacion_1,33.7,0.0,51.8,1010.8,3.5,52.2,440.3,Costa,10
2023-03-11,Estacion_1,32.5,0.0,54.4,1011.6,7.7,50.4,463.5,Costa,10
2023-03-12,Estacion_1,34.6,0.0,51.4,1009.2,9.9,79.3,408.6,Costa,10
2023-03-13,Estacion_1,31.1,0.0,51.5,1011.3,8.6,82.6,329.2,Costa,10
2023-03-14,Estacion_1,38.1,0.0,38.8,1010.5,4.8,54.3,532.0,Costa,10
2023-03-15,Estacion_1,33.1,0.0,57.3,1012.9,9.2,31.5,392.0,Costa,10
2023-03-16,Estacion_1,34.3,0.0,51.1,1011.9,6.4,59.4,460.5,Costa,10
2023-03-17,Estacion_1,33.4,0.0,49.9,1011.3,6.8,71.3,539.1,Costa,10
2023-03-18,Estacion_1,33.7,0.0,55.9,1008.7,9.2,43.4,438.9,Costa,10
2023-03-19,Estacion_1,36.7,0.0,47.0,1013.0,12.8,69.7,506.1,Costa,10
2023-03-20,Estacion_1,34.4,0.0,53.3,1012.3,6.0,53.6,454.4,Costa,10
2023-03-21,Estacion_1,34.6,0.0,44.9,1010.5,8.6,65.1,423.0,Costa,10
2023-03-22,Estacion_1,33.7,0.0,55.3,1011.3,7.1,43.8,476.2,Costa,10
2023-03-23,Estacion_1,32.9,0.0,58.9,1013.3,8.1,47.0,367.8,Costa,10
2023-03-24,Estacion_1,34.6,0.0,54.5,1012.7,4.4,61.8,569.0,Costa,10
2023-03-25,Estacion_1,34.5,0.5,51.7,1012.7,4.9,69.2,468.5,Costa,10
2023-03-26,Estacion_1,37.2,0.0,54.4,1012.0,8.3,65.9,599.8,Costa,10
2023-03-27,Estacion_1,35.2,0.0,48.9,1011.1,7.2,90.4,336.7,Costa,10
2023-03-28,Estacion_1,32.5,0.0,46.0,1009.5,7.1,56.9,425.3,Costa,10
2023-03-29,Estacion_1,32.4,0.0,51.3,1012.8,10.9,43.3,451.2,Costa,10
2023-03-30,Estacion_1,34.0,0.0,45.3,1011.8,6.5,67.5,402.1,Costa,10
2023-03-31,Estacion_1,35.4,0.0,46.6,1010.9,4.8,183.4,400.1,Costa,10
2023-04-01,Estacion_1,34.1,0.0,58.4,1008.6,8.8,40.4,456.1,Costa,10
2023-04-02,Estacion_1,34.1,0.0,43.8,1010.6,8.5,54.7,438.1,Costa,10
2023-04-03,Estacion_1,35.8,0.1,55.5,1012.8,7.5,41.8,433.2,Costa,10
2023-04-04,Estacion_1,35.2,0.0,48.0,1011.4,6.2,85.2,474.9,Costa,10
2023-04-05,Estacion_1,36.9,0.0,43.0,1012.6,5.5,55.9,486.3,Costa,10
2023-04-06,Estacion_1,32.5,0.0,46.1,1010.5,7.9,37.0,456.7,Costa,10
2023-04-07,Estacion_1,36.3,0.0,37.8,1012.1,8.3,60.8,461.9,Costa,10
2023-04-08,Estacion_1,36.0,0.0,47.2,1013.8,6.4,71.8,376.0,Costa,10
2023-04-09,Estacion_1,33.4,0.0,49.4,1011.8,7.4,73.0,445.2,Costa,10
2023-04-10,Estacion_1,32.9,0.0,62.0,1012.8,7.7,70.3,479.0,Costa,10
2023-04-11,Estacion_1,32.8,0.0,54.6,1009.0,11.8,39.9,455.1,Costa,10
2023-04-12,Estacion_1,33.2,0.0,44.5,1012.6,11.0,44.6,365.5,Costa,10
2023-04-13,Estacion_1,35.1,0.0,41.0,1012.5,5.2,68.2,423.5,Costa,10
2023-04-14,Estacion_1,34.4,0.0,42.0,1013.2,6.7,62.3,533.7,Costa,10
2023-04-15,Estacion_1,31.9,0.0,51.0,1012.7,4.5,95.2,383.3,Costa,10
2023-04-16,Estacion_1,33.8,0.0,44.5,1011.4,6.8,74.0,469.4,Costa,10
2023-04-17,Estacion_1,36.1,0.0,54.2,1011.6,3.9,75.6,471.9,Costa,10
2023-04-18,Estacion_1,35.3,0.3,50.7,1012.3,9.8,58.0,510.5,Costa,10
2023-04-19,Estacion_1,33.9,0.0,55.7,1011.0,5.7,38.5,465.1,Costa,10
2023-04-20,Estacion_1,34.3,0.0,48.2,1011.4,4.3,66.8,411.6,Costa,10
2023-04-21,Estacion_1,35.5,0.0,50.7,1013.1,6.8,85.3,458.3,Costa,10
2023-04-22,Estacion_1,33.1,0.0,58.9,1013.1,9.3,72.0,347.8,Costa,10
2023-04-23,Estacion_1,31.2,0.0,51.6,1011.3,7.2,43.4,360.2,Costa,10
2023-04-24,Estacion_1,33.7,0.0,52.4,1010.1,9.8,84.1,429.7,Costa,10
2023-04-25,Estacion_1,32.4,0.0,52.2,1012.8,9.8,103.4,506.5,Costa,10
2023-04-26,Estacion_1,32.7,0.0,49.6,1012.6,4.1,49.6,408.9,Costa,10
2023-04-27,Estacion_1,31.8,0.0,49.0,1012.5,5.9,48.1,383.7,Costa,10
2023-04-28,Estacion_1,35.8,0.0,58.1,1011.2,5.8,80.7,486.1,Costa,10
2023-04-29,Estacion_1,35.0,0.0,49.0,1010.6,5.0,91.7,403.7,Costa,10
2023-04-30,Estacion_1,32.5,0.0,53.5,1006.5,12.5,45.4,492.6,Costa,10
2023-05-01,Estacion_1,31.5,0.0,56.3,1011.2,14.9,93.6,437.5,Costa,10
2023-05-02,Estacion_1,34.4,0.0,53.0,1013.3,9.3,120.5,426.4,Costa,10
2023-05-03,Estacion_1,31.8,0.0,54.9,1011.2,10.0,57.7,419.4,Costa,10
2023-05-04,Estacion_1,33.3,0.0,51.9,1012.9,7.6,39.1,447.0,Costa,10
2023-05-05,Estacion_1,32.3,0.0,52.1,1012.2,6.0,68.0,444.3,Costa,10
2023-05-06,Estacion_1,34.4,0.0,45.4,1009.0,10.8,94.9,463.5,Costa,10
2023-05-07,Estacion_1,31.9,0.0,52.3,1008.7,5.8,50.9,514.2,Costa,10
2023-05-08,Estacion_1,30.8,0.0,53.3,1010.2,6.2,85.1,344.6,Costa,10
2023-05-09,Estacion_1,33.8,0.0,50.0,1010.0,7.7,137.3,385.6,Costa,10
2023-05-10,Estacion_1,33.7,0.0,50.1,1009.9,6.3,116.1,455.6,Costa,10
2023-05-11,Estacion_1,33.0,0.0,54.2,1012.7,10.0,68.6,466.3,Costa,10
2023-05-12,Estacion_1,30.6,0.0,54.0,1010.7,7.3,134.7,413.8,Costa,10
2023-05-13,Estacion_1,31.1,0.0,50.7,1013.2,9.0,52.9,290.4,Costa,10
2023-05-14,Estacion_1,33.5,0.0,45.9,1010.3,9.2,62.0,435.8,Costa,10
2023-05-15,Estacion_1,30.1,0.0,57.4,1014.4,11.3,68.9,300.1,Costa,10
2023-05-16,Estacion_1,31.3,0.0,53.1,1010.2,12.6,56.5,385.7,Costa,10
2023-05-17,Estacion_1,32.5,0.0,53.8,1010.6,5.6,64.8,393.4,Costa,10
2023-05-18,Estacion_1,32.1,0.0,56.2,1013.3,8.6,51.2,487.7,Costa,10
2023-05-19,Estacion_1,31.7,0.0,55.2,1015.0,8.5,49.1,393.5,Costa,10
2023-05-20,Estacion_1,29.7,0.0,52.6,1011.7,10.8,154.8,399.9,Costa,10
2023-05-21,Estacion_1,31.3,0.0,51.1,1012.1,3.8,57.0,330.6,Costa,10
2023-05-22,Estacion_1,32.4,0.0,56.9,1009.9,14.0,37.9,436.1,Costa,10
2023-05-23,Estacion_1,32.4,0.0,51.9,1014.4,15.2,59.0,469.5,Costa,10
2023-05-24,Estacion_1,31.9,0.0,53.9,1014.0,5.9,113.1,445.0,Costa,10
2023-05-25,Estacion_1,31.0,0.0,55.5,1011.3,9.4,79.3,392.3,Costa,10
2023-05-26,Estacion_1,27.1,0.0,59.0,1011.2,8.5,41.9,307.3,Costa,10
2023-05-27,Estacion_1,32.1,0.0,45.1,1011.3,3.4,65.3,357.4,Costa,10
2023-05-28,Estacion_1,29.8,0.0,61.3,1014.0,8.7,90.4,382.8,Costa,10
2023-05-29,Estacion_1,33.1,0.0,53.6,1013.7,6.7,57.0,422.7,Costa,10
2023-05-30,Estacion_1,30.0,0.0,51.5,1012.8,5.3,61.2,446.4,Costa,10
2023-05-31,Estacion_1,30.3,0.0,44.1,1016.2,11.4,100.8,351.6,Costa,10
2023-06-01,Estacion_1,30.0,0.0,51.6,1011.5,14.3,69.2,408.6,Costa,10
2023-06-02,Estacion_1,30.0,0.0,59.7,1012.2,5.7,100.7,460.3,Costa,10
2023-06-03,Estacion_1,27.7,0.0,65.4,1012.2,14.2,47.3,374.4,Costa,10
2023-06-04,Estacion_1,29.6,0.0,57.0,1013.9,8.5,57.3,445.6,Costa,10
2023-06-05,Estacion_1,30.6,0.0,57.2,1011.3,10.8,112.9,398.0,Costa,10
2023-06-06,Estacion_1,28.9,0.0,49.6,1009.3,8.8,43.6,282.0,Costa,10
2023-06-07,Estacion_1,26.7,0.0,55.1,1014.2,14.3,96.7,417.6,Costa,10
2023-06-08,Estacion_1,28.0,0.0,54.6,1011.7,8.6,38.7,299.2,Costa,10
2023-06-09,Estacion_1,31.9,0.0,56.7,1012.6,9.6,90.5,457.6,Costa,10
2023-06-10,Estacion_1,28.6,0.0,55.3,1012.6,3.2,35.8,382.4,Costa,10
2023-06-11,Estacion_1,29.5,0.0,52.3,1013.1,6.0,36.9,347.0,Costa,10
2023-06-12,Estacion_1,27.6,0.0,52.5,1012.6,5.2,50.0,392.5,Costa,10
2023-06-13,Estacion_1,29.8,0.0,54.7,1011.9,8.9,53.3,401.7,Costa,10
2023-06-14,Estacion_1,27.6,0.0,59.8,1009.8,8.0,40.3,342.6,Costa,10
2023-06-15,Estacion_1,28.6,0.0,53.5,1010.7,6.4,71.0,327.7,Costa,10
2023-06-16,Estacion_1,27.7,0.0,55.4,1012.4,6.6,64.4,370.7,Costa,10
2023-06-17,Estacion_1,24.8,0.0,61.5,1011.6,11.2,184.1,308.5,Costa,10
2023-06-18,Estacion_1,29.4,0.0,60.4,1013.4,13.8,80.2,476.1,Costa,10
2023-06-19,Estacion_1,25.1,0.0,56.3,1011.8,6.3,47.0,363.5,Costa,10
2023-06-20,Estacion_1,24.2,0.0,63.0,1014.9,9.9,40.7,427.0,Costa,10
2023-06-21,Estacion_1,27.0,0.0,58.4,1010.7,16.1,79.2,325.3,Costa,10
2023-06-22,Estacion_1,24.9,0.0,60.4,1010.6,4.8,106.4,295.0,Costa,10
2023-06-23,Estacion_1,25.6,0.0,59.7,1012.9,10.4,166.1,376.5,Costa,10
2023-06-24,Estacion_1,25.1,0.0,61.6,1012.8,3.3,94.5,312.7,Costa,10
2023-06-25,Estacion_1,23.7,0.0,61.6,1012.8,3.6,42.1,230.6,Costa,10
2023-06-26,Estacion_1,26.8,0.0,58.3,1011.9,5.6,60.7,382.4,Costa,10
2023-06-27,Estacion_1,25.9,0.0,56.5,1011.4,4.8,79.1,314.7,Costa,10
2023-06-28,Estacion_1,25.3,0.0,60.5,1011.7,5.1,89.1,354.3,Costa,10
2023-06-29,Estacion_1,23.1,0.0,60.0,1010.3,6.0,64.7,358.2,Costa,10
2023-06-30,Estacion_1,22.2,0.0,59.5,1010.3,4.7,59.6,399.1,Costa,10
2023-07-01,Estacion_1,26.5,0.0,54.9,1011.7,13.7,67.2,349.3,Costa,10
2023-07-02,Estacion_1,23.7,0.0,59.2,1010.8,6.5,56.0,345.8,Costa,10
2023-07-03,Estacion_1,24.4,0.0,52.9,1013.1,9.1,31.2,391.2,Costa,10
2023-07-04,Estacion_1,24.0,0.0,65.9,1010.0,11.9,35.0,312.0,Costa,10
2023-07-05,Estacion_1,20.1,0.1,62.2,1012.3,8.8,43.6,300.6,Costa,10
2023-07-06,Estacion_1,25.6,0.0,58.5,1010.0,8.3,62.2,242.1,Costa,10
2023-07-07,Estacion_1,23.0,0.0,69.3,1011.4,9.2,102.3,274.9,Costa,10
2023-07-08,Estacion_1,24.5,0.6,58.8,1014.8,11.4,49.9,411.1,Costa,10
2023-07-09,Estacion_1,25.7,0.0,53.3,1011.8,11.0,146.9,364.4,Costa,10
2023-07-10,Estacion_1,23.5,0.0,59.1,1009.7,7.8,43.9,283.6,Costa,10
2023-07-11,Estacion_1,23.8,0.0,62.5,1010.7,7.2,96.1,300.9,Costa,10
2023-07-12,Estacion_1,20.9,0.0,61.5,1013.7,10.7,79.8,278.1,Costa,10
2023-07-13,Estacion_1,24.0,0.0,68.2,1014.4,6.6,79.2,394.9,Costa,10
2023-07-14,Estacion_1,23.3,0.0,60.5,1010.2,12.3,33.9,322.9,Costa,10
2023-07-15,Estacion_1,21.9,0.0,56.3,1013.1,11.4,59.1,333.9,Costa,10
2023-07-16,Estacion_1,23.9,0.0,60.3,1012.7,4.0,103.6,360.5,Costa,10
2023-07-17,Estacion_1,21.0,0.0,64.1,1009.5,12.2,71.9,395.9,Costa,10
2023-07-18,Estacion_1,18.9,0.0,66.3,1012.9,11.3,74.1,283.5,Costa,10
2023-07-19,Estacion_1,19.8,0.1,64.2,1010.5,10.3,70.4,228.9,Costa,10
2023-07-20,Estacion_1,19.7,0.0,67.5,1012.2,6.4,116.7,225.2,Costa,10
2023-07-21,Estacion_1,19.6,0.0,68.9,1011.2,13.5,46.3,192.7,Costa,10
2023-07-22,Estacion_1,21.5,0.0,68.1,1014.3,9.2,47.4,374.0,Costa,10
2023-07-23,Estacion_1,20.1,0.0,62.0,1015.6,7.2,66.6,267.7,Costa,10
2023-07-24,Estacion_1,23.9,0.0,67.0,1010.8,15.2,89.5,395.8,Costa,10
2023-07-25,Estacion_1,19.7,0.0,65.7,1014.0,10.2,53.3,253.5,Costa,10
2023-07-26,Estacion_1,20.4,0.0,63.9,1012.0,7.8,80.5,287.2,Costa,10
2023-07-27,Estacion_1,20.7,0.0,62.3,1013.4,7.1,40.2,325.7,Costa,10
2023-07-28,Estacion_1,20.4,0.0,55.7,1013.3,6.0,58.4,295.3,Costa,10
2023-07-29,Estacion_1,22.1,0.0,62.7,1014.4,6.1,92.3,361.0,Costa,10
2023-07-30,Estacion_1,18.4,0.0,68.0,1012.3,7.4,66.5,235.9,Costa,10
2023-07-31,Estacion_1,18.4,0.0,65.4,1012.3,3.5,56.0,363.2,Costa,10
2023-08-01,Estacion_1,19.5,0.0,61.7,1008.1,12.1,91.7,299.7,Costa,10
2023-08-02,Estacion_1,20.2,0.0,64.2,1010.8,9.0,88.2,240.2,Costa,10
2023-08-03,Estacion_1,17.3,0.0,79.7,1009.3,6.2,103.3,236.9,Costa,10
2023-08-04,Estacion_1,17.9,0.0,72.1,1015.7,16.1,75.6,314.7,Costa,10
2023-08-05,Estacion_1,19.5,0.0,74.4,1010.1,14.4,75.8,341.6,Costa,10
2023-08-06,Estacion_1,21.5,0.0,58.2,1011.8,8.9,47.7,283.6,Costa,10
2023-08-07,Estacion_1,17.5,0.0,73.2,1010.6,6.5,72.3,263.3,Costa,10
2023-08-08,Estacion_1,18.0,0.0,69.4,1013.1,9.1,61.3,296.0,Costa,10
2023-08-09,Estacion_1,17.3,0.0,74.2,1010.9,12.4,66.2,201.9,Costa,10
2023-08-10,Estacion_1,18.8,0.0,72.9,1011.1,7.1,108.5,313.4,Costa,10
2023-08-11,Estacion_1,16.9,0.0,72.2,1011.1,6.6,55.3,249.5,Costa,10
2023-08-12,Estacion_1,18.5,0.0,70.3,1014.8,10.7,42.6,286.7,Costa,10
2023-08-13,Estacion_1,20.0,0.0,66.2,1011.7,10.9,42.6,322.3,Costa,10
2023-08-14,Estacion_1,16.0,0.2,68.0,1014.4,11.7,69.4,220.3,Costa,10
2023-08-15,Estacion_1,18.5,0.0,67.2,1013.7,6.2,56.0,188.4,Costa,10
2023-08-16,Estacion_1,14.3,0.0,67.6,1011.0,8.7,96.0,215.8,Costa,10
2023-08-17,Estacion_1,16.8,0.0,76.2,1011.3,5.1,37.4,330.7,Costa,10
2023-08-18,Estacion_1,17.9,0.0,66.9,1012.3,5.6,46.7,259.4,Costa,10
2023-08-19,Estacion_1,17.9,0.0,71.3,1009.7,9.9,34.1,286.4,Costa,10
2023-08-20,Estacion_1,17.8,0.0,68.0,1012.8,10.9,83.6,292.5,Costa,10
2023-08-21,Estacion_1,17.9,0.0,66.4,1010.3,9.0,67.0,334.8,Costa,10
2023-08-22,Estacion_1,16.0,0.0,68.5,1011.4,8.2,75.3,270.6,Costa,10
2023-08-23,Estacion_1,17.2,0.0,63.1,1013.4,9.6,83.3,253.2,Costa,10
2023-08-24,Estacion_1,17.1,0.0,77.0,1008.9,13.4,56.2,324.7,Costa,10
2023-08-25,Estacion_1,15.2,0.6,72.8,1012.9,12.4,60.6,244.2,Costa,10
2023-08-26,Estacion_1,16.5,0.0,66.1,1011.9,5.2,103.1,219.5,Costa,10
2023-08-27,Estacion_1,16.6,0.0,69.6,1012.7,7.3,68.4,317.2,Costa,10
2023-08-28,Estacion_1,13.4,0.0,68.0,1012.5,6.7,112.8,316.1,Costa,10
2023-08-29,Estacion_1,18.0,0.0,61.8,1012.9,5.0,57.3,239.2,Costa,10
2023-08-30,Estacion_1,16.6,0.0,69.0,1011.8,6.7,128.9,229.9,Costa,10
2023-08-31,Estacion_1,13.9,0.0,69.9,1008.6,9.7,37.5,278.0,Costa,10
2023-09-01,Estacion_1,15.5,0.1,69.5,1013.4,13.8,50.4,274.7,Costa,10
2023-09-02,Estacion_1,15.4,0.0,70.5,1010.6,8.8,66.0,147.2,Costa,10
2023-09-03,Estacion_1,18.5,0.0,66.1,1011.2,4.9,49.1,327.3,Costa,10
2023-09-04,Estacion_1,15.3,0.0,61.7,1013.1,9.4,67.1,223.0,Costa,10
2023-09-05,Estacion_1,15.1,0.0,65.4,1010.4,9.2,55.9,277.2,Costa,10
2023-09-06,Estacion_1,15.1,0.0,64.3,1013.9,11.3,68.9,290.3,Costa,10
2023-09-07,Estacion_1,14.4,0.0,72.3,1011.8,7.4,47.5,160.1,Costa,10
2023-09-08,Estacion_1,14.3,0.0,67.9,1011.9,3.4,33.9,280.4,Costa,10
2023-09-09,Estacion_1,16.6,0.0,70.4,1014.5,8.7,47.5,254.0,Costa,10
2023-09-10,Estacion_1,17.3,0.0,69.1,1012.1,11.5,34.9,239.0,Costa,10
2023-09-11,Estacion_1,17.0,0.0,59.6,1010.3,7.0,118.0,222.9,Costa,10
2023-09-12,Estacion_1,14.3,0.3,63.9,1013.5,9.5,35.9,204.2,Costa,10
2023-09-13,Estacion_1,12.5,0.0,78.8,1011.7,8.4,71.0,202.3,Costa,10
2023-09-14,Estacion_1,14.9,0.0,69.5,1012.4,4.4,61.0,231.1,Costa,10
2023-09-15,Estacion_1,12.1,0.0,71.0,1012.8,5.2,55.3,216.9,Costa,10
2023-09-16,Estacion_1,15.5,0.0,72.1,1008.7,11.5,131.0,367.2,Costa,10
2023-09-17,Estacion_1,14.4,0.0,76.6,1010.6,6.9,49.6,146.2,Costa,10
2023-09-18,Estacion_1,15.8,0.0,68.2,1010.1,5.5,56.4,314.3,Costa,10
2023-09-19,Estacion_1,17.6,0.0,65.1,1009.8,3.6,188.7,201.8,Costa,10
2023-09-20,Estacion_1,15.0,0.0,78.7,1012.2,8.1,54.1,282.3,Costa,10
2023-09-21,Estacion_1,14.0,0.0,70.2,1010.0,13.4,101.6,238.8,Costa,10
2023-09-22,Estacion_1,12.4,0.0,68.3,1010.9,5.8,112.8,277.7,Costa,10
2023-09-23,Estacion_1,14.9,0.0,76.0,1011.2,5.9,79.7,254.2,Costa,10
2023-09-24,Estacion_1,16.3,0.0,67.6,1012.6,7.4,62.8,244.2,Costa,10
2023-09-25,Estacion_1,15.9,0.0,74.5,1010.3,10.1,38.8,307.8,Costa,10
2023-09-26,Estacion_1,15.2,0.0,72.2,1012.8,8.3,88.5,291.1,Costa,10
2023-09-27,Estacion_1,15.3,0.0,71.8,1011.7,5.3,45.3,220.6,Costa,10
2023-09-28,Estacion_1,14.2,0.0,71.2,1011.5,7.8,34.3,253.9,Costa,10
2023-09-29,Estacion_1,16.6,0.0,68.3,1009.3,7.8,47.2,308.6,Costa,10
2023-09-30,Estacion_1,14.1,0.0,63.1,1011.6,9.1,64.8,256.2,Costa,10
2023-10-01,Estacion_1,13.1,0.0,73.4,1007.2,13.1,68.2,242.9,Costa,10
2023-10-02,Estacion_1,13.7,0.0,75.4,1012.6,16.3,98.8,375.8,Costa,10
2023-10-03,Estacion_1,13.3,0.0,76.0,1010.7,8.3,53.7,193.0,Costa,10
2023-10-04,Estacion_1,16.1,0.2,67.4,1011.9,8.2,45.6,318.4,Costa,10
2023-10-05,Estacion_1,12.4,0.0,68.4,1013.3,9.2,48.9,213.9,Costa,10
2023-10-06,Estacion_1,15.6,0.0,70.6,1010.9,8.9,122.4,190.4,Costa,10
2023-10-07,Estacion_1,15.9,0.0,75.2,1010.2,4.7,98.7,238.2,Costa,10
2023-10-08,Estacion_1,14.7,0.0,70.2,1012.7,8.8,38.1,237.4,Costa,10
2023-10-09,Estacion_1,13.7,0.0,70.4,1013.6,7.7,55.6,219.8,Costa,10
2023-10-10,Estacion_1,17.7,0.0,70.6,1010.1,11.4,47.5,256.9,Costa,10
